,Aggregated,3081,0,4,34.36576049983767,1.1694000000002092,391.5183000000004,8688.0,161.93220459746766,0.0,4,6,9,46,97,200,300,320,360,390,390
GET,/,2710,0,4,22.293603247232475,1.1185999999998586,326.8000000000002,8688.0,143.70549254188296,0.0,4,5,6,8,76,97,230,290,320,330,330
,Aggregated,2710,0,4,22.293603247232475,1.1185999999998586,326.8000000000002,8688.0,143.70549254188296,0.0,4,5,6,8,76,97,230,290,320,330,330
GET,/,2493,0,4,33.95838046530281,1.1682000000003967,729.5477,8688.0,131.15195771429242,0.0,4,6,8,9,56,100,640,680,720,730,730
,Aggregated,2493,0,4,33.95838046530281,1.1682000000003967,729.5477,8688.0,131.15195771429242,0.0,4,6,8,9,56,100,640,680,720,730,730
GET,/,2566,0,4,25.15736243180046,1.1513999999994695,393.7719000000002,8688.0,135.16256213771615,0.0,4,5,6,10,88,100,260,350,360,390,390
,Aggregated,2566,0,4,25.15736243180046,1.1513999999994695,393.7719000000002,8688.0,135.16256213771615,0.0,4,5,6,10,88,100,260,350,360,390,390
GET,/,2764,0,4,24.201425976845204,1.2239999999987816,352.4277,8688.0,146.85918469137053,0.0,4,6,7,8,82,160,200,250,350,350,350
,Aggregated,2764,0,4,24.201425976845204,1.2239999999987816,352.4277,8688.0,146.85918469137053,0.0,4,6,7,8,82,160,200,250,350,350,350
GET,/,2566,0,5,27.369259742790295,1.1767999999996448,322.6192000000001,8688.0,135.35236014440693,0.0,5,6,9,43,92,120,220,260,320,320,320
,Aggregated,2566,0,5,27.369259742790295,1.1767999999996448,322.6192000000001,8688.0,135.35236014440693,0.0,5,6,9,43,92,120,220,260,320,320,320
GET,/,2548,0,4,20.159017032967014,1.1974000000005702,341.61049999999983,8688.0,135.89668049965067,0.0,4,5,6,9,75,97,190,250,290,340,340
,Aggregated,2548,0,4,20.159017032967014,1.1974000000005702,341.61049999999983,8688.0,135.89668049965067,0.0,4,5,6,9,75,97,190,250,290,340,340
GET,/,2611,0,6,142.70007966296438,1.1630999999994174,2390.6714000000006,8688.0,137.39475183814085,0.0,6,16,81,94,190,1500,2000,2100,2300,2400,2400
,Aggregated,2611,0,6,142.70007966296438,1.1630999999994174,2390.6714000000006,8688.0,137.39475183814085,0.0,6,16,81,94,190,1500,2000,2100,2300,2400,2400
GET,/,4118,0,5,49.58681668285572,1.1375999999998498,617.8995999999999,8688.0,216.2920406106212,0.0,5,12,82,90,130,280,350,410,500,620,620
,Aggregated,4118,0,5,49.58681668285572,1.1375999999998498,617.8995999999999,8688.0,216.2920406106212,0.0,5,12,82,90,130,280,350,410,500,620,620
GET,/,4828,0,59,78.87995731151612,1.1489999999998446,560.7369,8688.0,254.04449020986354,0.0,60,94,100,110,200,290,400,430,560,560,560
,Aggregated,4828,0,59,78.87995731151612,1.1489999999998446,560.7369,8688.0,254.04449020986354,0.0,60,94,100,110,200,290,400,430,560,560,560
GET,/,4130,0,8,77.16738861985463,1.0913999999999646,681.5968000000004,8688.0,217.04811539696212,0.0,8,82,96,100,240,400,490,500,600,680,680
,Aggregated,4130,0,8,77.16738861985463,1.0913999999999646,681.5968000000004,8688.0,217.04811539696212,0.0,8,82,96,100,240,400,490,500,600,680,680
GET,/,3540,0,4,36.54045686440676,1.2311999999994327,644.1314,8688.0,186.2652542583275,0.0,4,6,9,37,94,240,400,460,560,640,640
,Aggregated,3540,0,4,36.54045686440676,1.2311999999994327,644.1314,8688.0,186.2652542583275,0.0,4,6,9,37,94,240,400,460,560,640,640
GET,/,3672,0,5,29.602140441176374,1.1866000000004817,670.9931999999999,8688.0,192.55894765324396,0.0,5,9,11,15,83,190,300,400,580,670,670
,Aggregated,3672,0,5,29.602140441176374,1.1866000000004817,670.9931999999999,8688.0,192.55894765324396,0.0,5,9,11,15,83,190,300,400,580,670,670
GET,/,3124,0,6,22.474582138284266,1.165900000000164,244.9656,8688.0,165.7024871372283,0.0,6,9,11,21,78,100,150,200,240,240,240
,Aggregated,3124,0,6,22.474582138284266,1.165900000000164,244.9656,8688.0,165.7024871372283,0.0,6,9,11,21,78,100,150,200,240,240,240
GET,/,3394,0,5,22.04713845020626,1.1805000000002508,388.8891000000001,8688.0,180.5087419533597,0.0,5,7,9,14,70,98,200,270,380,390,390
,Aggregated,3394,0,5,22.04713845020626,1.1805000000002508,388.8891000000001,8688.0,180.5087419533597,0.0,5,7,9,14,70,98,200,270,380,390,390
GET,/,3883,0,6,28.74414808138031,1.150700000000171,457.15379999999993,8688.0,204.20219049072637,0.0,6,9,12,22,84,160,260,350,440,460,460
,Aggregated,3883,0,6,28.74414808138031,1.150700000000171,457.15379999999993,8688.0,204.20219049072637,0.0,6,9,12,22,84,160,260,350,440,460,460
GET,/,4979,0,6,34.90554061056423,1.12859999999948,601.675,8688.0,261.5912250098143,0.0,6,9,34,64,95,190,290,350,600,600,600
,Aggregated,4979,0,6,34.90554061056423,1.12859999999948,601.675,8688.0,261.5912250098143,0.0,6,9,34,64,95,190,290,350,600,600,600
GET,/,4812,0,7,28.261613362427227,1.241399999999615,348.4511000000001,8688.0,253.7914648544936,0.0,7,10,13,43,87,140,230,260,340,350,350
,Aggregated,4812,0,7,28.261613362427227,1.241399999999615,348.4511000000001,8688.0,253.7914648544936,0.0,7,10,13,43,87,140,230,260,340,350,350
