POD,CPU,MEMORY,TIME,Resource,
frontend-767bb5b6b6-5fvdr,94,31Mi,1703209368,120.4819277,
frontend-767bb5b6b6-5fvdr,90,31Mi,1703209390,125.8366801,
frontend-767bb5b6b6-5fvdr,103,31Mi,1703209412,123.1593039,
frontend-767bb5b6b6-5fvdr,103,31Mi,1703209433,129.1834003,
frontend-767bb5b6b6-5fvdr,107,31Mi,1703209455,137.8848728,
frontend-767bb5b6b6-5fvdr,92,31Mi,1703209476,140.562249,
frontend-767bb5b6b6-5fvdr,94,32Mi,1703209498,133.1994645,
frontend-767bb5b6b6-5fvdr,95,32Mi,1703209520,124.497992,
frontend-767bb5b6b6-5fvdr,120,32Mi,1703209541,126.5060241,
frontend-767bb5b6b6-5fvdr,98,32Mi,1703209563,143.9089692,
frontend-767bb5b6b6-5fvdr,93,32Mi,1703209585,145.9170013,
frontend-767bb5b6b6-5fvdr,108,32Mi,1703209606,127.8447122,
frontend-767bb5b6b6-5fvdr,108,32Mi,1703209628,134.5381526,
frontend-767bb5b6b6-5fvdr,94,32Mi,1703209649,144.5783133,
frontend-767bb5b6b6-5fvdr,101,32Mi,1703209671,135.2074967,
frontend-767bb5b6b6-5fvdr,107,32Mi,1703209693,130.5220884,
frontend-767bb5b6b6-5fvdr,93,32Mi,1703209714,139.2235609,
frontend-767bb5b6b6-5fvdr,90,32Mi,1703209736,133.8688086,
frontend-767bb5b6b6-5fvdr,90,32Mi,1703209758,122.4899598,
frontend-767bb5b6b6-5fvdr,67,32Mi,1703209780,120.4819277,
frontend-767bb5b6b6-5fvdr,111,32Mi,1703209801,105.0870147,
frontend-767bb5b6b6-5fvdr,75,32Mi,1703209823,119.1432396,
frontend-767bb5b6b6-5fvdr,96,32Mi,1703209845,124.497992,
frontend-767bb5b6b6-5fvdr,98,32Mi,1703209866,114.4578313,
frontend-767bb5b6b6-5fvdr,83,32Mi,1703209888,129.8527443,
frontend-767bb5b6b6-5fvdr,89,32Mi,1703209910,121.1512718,
frontend-767bb5b6b6-5fvdr,82,32Mi,1703209932,115.1271754,
frontend-767bb5b6b6-5fvdr,78,32Mi,1703209954,114.4578313,
frontend-767bb5b6b6-5fvdr,89,32Mi,1703209975,107.0950469,
frontend-767bb5b6b6-5fvdr,77,32Mi,1703209997,111.7804552,
frontend-767bb5b6b6-5fvdr,103,32Mi,1703210019,111.1111111,
frontend-767bb5b6b6-5fvdr,103,32Mi,1703210040,120.4819277,
frontend-767bb5b6b6-5fvdr,81,32Mi,1703210062,137.8848728,
frontend-767bb5b6b6-5fvdr,94,32Mi,1703210084,123.1593039,
frontend-767bb5b6b6-5fvdr,99,32Mi,1703210105,117.1352075,
frontend-767bb5b6b6-5fvdr,110,32Mi,1703210127,129.1834003,
frontend-767bb5b6b6-5fvdr,94,32Mi,1703210148,139.892905,
frontend-767bb5b6b6-5fvdr,116,32Mi,1703210170,136.5461847,
frontend-767bb5b6b6-5fvdr,86,32Mi,1703210192,140.562249,
frontend-767bb5b6b6-5fvdr,86,32Mi,1703210214,135.2074967,
frontend-767bb5b6b6-5fvdr,80,32Mi,1703210235,115.1271754,
frontend-767bb5b6b6-5fvdr,92,32Mi,1703210257,111.1111111,
frontend-767bb5b6b6-5fvdr,89,32Mi,1703210279,115.1271754,
frontend-767bb5b6b6-5fvdr,89,32Mi,1703210300,121.1512718,
frontend-767bb5b6b6-5fvdr,85,32Mi,1703210322,119.1432396,
frontend-767bb5b6b6-5fvdr,80,32Mi,1703210344,116.4658635,
frontend-767bb5b6b6-5fvdr,99,32Mi,1703210365,110.4417671,
frontend-767bb5b6b6-5fvdr,81,32Mi,1703210387,119.8125837,
frontend-767bb5b6b6-5fvdr,78,32Mi,1703210409,120.4819277,
frontend-767bb5b6b6-5fvdr,78,32Mi,1703210431,106.4257028,
frontend-767bb5b6b6-5fvdr,89,32Mi,1703210453,104.4176707,
frontend-767bb5b6b6-5fvdr,87,31Mi,1703210474,111.7804552,
frontend-767bb5b6b6-5fvdr,95,31Mi,1703210496,117.8045515,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703210517,121.8206158,
frontend-767bb5b6b6-5fvdr,88,31Mi,1703210539,122.4899598,
frontend-767bb5b6b6-5fvdr,109,32Mi,1703210561,117.8045515,
frontend-767bb5b6b6-5fvdr,99,32Mi,1703210582,131.8607764,
frontend-767bb5b6b6-5fvdr,95,32Mi,1703210604,139.2235609,
frontend-767bb5b6b6-5fvdr,104,32Mi,1703210625,129.8527443,
frontend-767bb5b6b6-5fvdr,116,32Mi,1703210647,133.1994645,
frontend-767bb5b6b6-5fvdr,102,32Mi,1703210669,147.2556894,
frontend-767bb5b6b6-5fvdr,115,32Mi,1703210690,145.9170013,
frontend-767bb5b6b6-5fvdr,95,32Mi,1703210712,145.2476573,
frontend-767bb5b6b6-5fvdr,110,32Mi,1703210733,140.562249,
frontend-767bb5b6b6-5fvdr,95,32Mi,1703210755,137.2155288,
frontend-767bb5b6b6-5fvdr,105,32Mi,1703210777,137.2155288,
frontend-767bb5b6b6-5fvdr,105,32Mi,1703210798,133.8688086,
frontend-767bb5b6b6-5fvdr,97,32Mi,1703210821,140.562249,
frontend-767bb5b6b6-5fvdr,105,32Mi,1703210842,135.2074967,
frontend-767bb5b6b6-5fvdr,100,32Mi,1703210864,135.2074967,
frontend-767bb5b6b6-5fvdr,89,32Mi,1703210885,137.2155288,
