POD,CPU,MEMORY,TIME,Resource,,,
frontend-767bb5b6b6-cjccz,89,28Mi,1703255078,119.1176286,,,
frontend-767bb5b6b6-cjccz,99,28Mi,1703255100,118.9232374,,,
frontend-767bb5b6b6-cjccz,102,28Mi,1703255121,130.0526982,,,
frontend-767bb5b6b6-cjccz,95,28Mi,1703255143,134.9630275,,,
frontend-767bb5b6b6-cjccz,101,29Mi,1703255164,126.0694915,,,
frontend-767bb5b6b6-cjccz,86,29Mi,1703255186,132.9186219,,,
frontend-767bb5b6b6-cjccz,83,29Mi,1703255208,124.850438,,,
frontend-767bb5b6b6-cjccz,70,29Mi,1703255230,111.4472902,,,
frontend-767bb5b6b6-cjccz,77,29Mi,1703255251,96.64931601,,,
frontend-767bb5b6b6-cjccz,77,29Mi,1703255273,106.1331563,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703255294,102.9951739,,,
frontend-767bb5b6b6-cjccz,77,29Mi,1703255316,113.1467283,,,
frontend-767bb5b6b6-cjccz,90,29Mi,1703255338,110.4033903,,,
frontend-767bb5b6b6-cjccz,90,29Mi,1703255359,112.3524613,,,
frontend-767bb5b6b6-cjccz,87,29Mi,1703255381,118.6891523,,,
frontend-767bb5b6b6-cjccz,94,29Mi,1703255402,118.8601765,,,
frontend-767bb5b6b6-cjccz,92,29Mi,1703255424,123.8927869,,,
frontend-767bb5b6b6-cjccz,111,29Mi,1703255446,122.4348095,,,
frontend-767bb5b6b6-cjccz,73,29Mi,1703255468,128.7749453,,,
frontend-767bb5b6b6-cjccz,91,29Mi,1703255489,122.4071339,,,
frontend-767bb5b6b6-cjccz,91,29Mi,1703255511,114.2426785,,,
frontend-767bb5b6b6-cjccz,73,29Mi,1703255532,120.0167777,,,
frontend-767bb5b6b6-cjccz,97,29Mi,1703255554,118.2281092,,,
frontend-767bb5b6b6-cjccz,83,29Mi,1703255576,111.9142367,,,
frontend-767bb5b6b6-cjccz,105,29Mi,1703255597,115.513229,,,
frontend-767bb5b6b6-cjccz,76,29Mi,1703255619,121.0060044,,,
frontend-767bb5b6b6-cjccz,92,29Mi,1703255640,115.5574145,,,
frontend-767bb5b6b6-cjccz,106,29Mi,1703255662,110.5460756,,,
frontend-767bb5b6b6-cjccz,94,29Mi,1703255684,138.3174372,,,
frontend-767bb5b6b6-cjccz,105,29Mi,1703255705,123.7652127,,,
frontend-767bb5b6b6-cjccz,77,29Mi,1703255727,137.4803726,,,
frontend-767bb5b6b6-cjccz,90,29Mi,1703255748,127.2667867,,,
frontend-767bb5b6b6-cjccz,90,29Mi,1703255770,114.6423464,,,
frontend-767bb5b6b6-cjccz,85,29Mi,1703255791,118.7377147,,,
frontend-767bb5b6b6-cjccz,112,29Mi,1703255813,114.2019129,,,
frontend-767bb5b6b6-cjccz,87,29Mi,1703255834,115.2250517,,,
frontend-767bb5b6b6-cjccz,96,29Mi,1703255856,134.6182177,,,
frontend-767bb5b6b6-cjccz,100,29Mi,1703255878,125.4767857,,,
frontend-767bb5b6b6-cjccz,97,29Mi,1703255899,130.833341,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703255921,127.8700273,,,
frontend-767bb5b6b6-cjccz,92,29Mi,1703255942,126.0674192,,,
frontend-767bb5b6b6-cjccz,91,29Mi,1703255964,122.8992156,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703255985,121.7330759,,,
frontend-767bb5b6b6-cjccz,86,29Mi,1703256007,126.2823578,,,
frontend-767bb5b6b6-cjccz,92,29Mi,1703256028,115.1536085,,,
frontend-767bb5b6b6-cjccz,92,29Mi,1703256050,122.6275191,,,
frontend-767bb5b6b6-cjccz,83,29Mi,1703256071,122.4126084,,,
frontend-767bb5b6b6-cjccz,91,29Mi,1703256093,112.4882253,,,
frontend-767bb5b6b6-cjccz,110,29Mi,1703256114,119.0201638,,,
frontend-767bb5b6b6-cjccz,92,29Mi,1703256136,132.3849881,,,
frontend-767bb5b6b6-cjccz,78,29Mi,1703256157,124.3001795,,,
frontend-767bb5b6b6-cjccz,88,29Mi,1703256179,104.9542096,,,
frontend-767bb5b6b6-cjccz,73,29Mi,1703256201,114.7452613,,,
