POD,CPU,MEMORY,TIME,Resource,,,,
frontend-767bb5b6b6-tktzp,119,27Mi,1702975042,134.1495582,,,,
frontend-767bb5b6b6-tktzp,90,27Mi,1702975064,144.7570992,,,,
frontend-767bb5b6b6-tktzp,94,27Mi,1702975086,143.1899835,,,,
frontend-767bb5b6b6-tktzp,93,27Mi,1702975108,143.4739581,,,,
frontend-767bb5b6b6-tktzp,115,27Mi,1702975130,137.7965238,,,,
frontend-767bb5b6b6-tktzp,91,27Mi,1702975152,145.6389737,,,,
frontend-767bb5b6b6-tktzp,129,27Mi,1702975174,132.4985404,,,,
frontend-767bb5b6b6-tktzp,84,27Mi,1702975196,154.7160471,,,,
frontend-767bb5b6b6-tktzp,100,27Mi,1702975219,156.5639379,,,,
frontend-767bb5b6b6-tktzp,118,27Mi,1702975241,156.8931449,,,,
frontend-767bb5b6b6-tktzp,114,28Mi,1702975263,158.6177696,,,,
frontend-767bb5b6b6-tktzp,104,28Mi,1702975285,161.1591608,,,,
frontend-767bb5b6b6-tktzp,103,28Mi,1702975307,147.0462384,,,,
frontend-767bb5b6b6-tktzp,114,28Mi,1702975329,139.9314034,,,,
frontend-767bb5b6b6-tktzp,87,27Mi,1702975351,140.9592992,,,,
frontend-767bb5b6b6-tktzp,103,27Mi,1702975373,142.810244,,,,
frontend-767bb5b6b6-tktzp,88,27Mi,1702975395,137.443272,,,,
frontend-767bb5b6b6-tktzp,98,27Mi,1702975417,137.3505532,,,,
frontend-767bb5b6b6-tktzp,99,28Mi,1702975439,135.7459541,,,,
frontend-767bb5b6b6-tktzp,96,28Mi,1702975461,123.8690287,,,,
frontend-767bb5b6b6-tktzp,88,28Mi,1702975483,122.7183508,,,,
frontend-767bb5b6b6-tktzp,91,28Mi,1702975505,118.9864023,,,,
frontend-767bb5b6b6-tktzp,107,28Mi,1702975527,118.2746076,,,,
frontend-767bb5b6b6-tktzp,91,28Mi,1702975549,125.8448086,,,,
frontend-767bb5b6b6-tktzp,91,28Mi,1702975571,124.2257248,,,,
frontend-767bb5b6b6-tktzp,98,28Mi,1702975593,123.28,,,,
frontend-767bb5b6b6-tktzp,86,28Mi,1702975615,124.4573551,,,,
frontend-767bb5b6b6-tktzp,96,28Mi,1702975637,125.5405701,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702975659,115.9746076,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702975681,115.9387032,,,,
frontend-767bb5b6b6-tktzp,88,28Mi,1702975704,115.8780951,,,,
frontend-767bb5b6b6-tktzp,106,28Mi,1702975726,111.1972722,,,,
frontend-767bb5b6b6-tktzp,93,28Mi,1702975748,123.2171426,,,,
frontend-767bb5b6b6-tktzp,93,28Mi,1702975770,122.3582307,,,,
frontend-767bb5b6b6-tktzp,87,28Mi,1702975792,122.5735621,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702975814,122.982206,,,,
frontend-767bb5b6b6-tktzp,81,28Mi,1702975836,122.8040684,,,,
frontend-767bb5b6b6-tktzp,90,28Mi,1702975858,112.4469744,,,,
